object_probs,left,top,right,bottom
truck 0.88163,281,440,491,659
motorbike 0.97328,699,509,767,598
motorbike 0.96320,791,494,865,584
motorbike 0.95153,577,460,619,529
motorbike 0.91304,958,513,1053,642
motorbike 0.70861,309,250,328,280
person 0.82848 motorbike 0.54785,342,228,355,257
car 0.94741,377,248,428,287
car 0.92081,259,267,303,320
car 0.61235,290,198,314,219
car 0.57810,308,467,492,677
person 0.93925,701,465,762,563
person 0.88063,578,432,616,511
person 0.77203,800,459,849,531
person 0.61357,145,500,193,615
person 0.53233,959,499,1046,620
