object_probs,left,top,right,bottom
truck 0.92539,347,514,616,707
motorbike 0.96398,415,290,437,318
person 0.52008 motorbike 0.90502,437,271,459,302
motorbike 0.88689,545,307,584,345
motorbike 0.87831,316,267,336,293
motorbike 0.84935,154,564,198,633
motorbike 0.77130,357,247,378,270
motorbike 0.75121,242,579,289,668
person 0.92033 motorbike 0.65173,313,256,333,283
motorbike 0.50810,312,208,330,231
car 0.98718,220,364,333,457
car 0.94509,290,421,440,599
person 0.90917,234,534,286,621
person 0.88088,413,273,435,305
person 0.70631,594,264,621,303
person 0.63018,544,289,584,341
person 0.61668,143,510,193,606
person 0.55174,552,292,579,324
