object_probs,left,top,right,bottom
truck 0.79170,349,203,442,290
motorbike 0.94846,888,420,960,478
motorbike 0.93585,598,329,639,368
motorbike 0.92796,527,289,560,323
motorbike 0.88703,475,268,499,303
motorbike 0.81502,402,441,452,503
person 0.57199 motorbike 0.58889,455,255,477,283
motorbike 0.52154,454,266,478,295
car 0.96660,448,341,585,447
person 0.84003,404,404,449,465
person 0.83628,599,304,638,363
person 0.67659,530,279,556,306
person 0.63344,603,302,623,327
person 0.61893,899,395,946,468
person 0.57862,602,309,631,340
person 0.57421,475,257,497,281
