object_probs,left,top,right,bottom
truck 0.90697,311,495,630,706
bus 0.67259,854,435,1073,636
motorbike 0.93080,540,397,585,460
motorbike 0.72945,148,536,197,624
motorbike 0.66094,297,247,311,269
person 0.73849 motorbike 0.57515,342,233,360,262
motorbike 0.54892,712,357,751,417
motorbike 0.50572,341,248,360,269
car 0.93577,576,324,740,469
car 0.92671,212,358,340,486
car 0.78386,287,425,438,600
car 0.53038,289,200,312,215
person 0.82753,295,237,311,265
person 0.66608,542,371,572,409
person 0.64875,234,512,284,599
person 0.57896,710,347,749,405
person 0.52329,133,509,206,614
