object_probs,left,top,right,bottom
motorbike 0.92866,411,331,436,361
motorbike 0.91961,468,329,496,373
motorbike 0.87033,620,321,662,377
motorbike 0.79504,359,305,382,338
motorbike 0.77335,530,350,562,390
person 0.79792 motorbike 0.75466,356,291,381,328
motorbike 0.74474,152,530,200,627
car 0.87548,297,221,334,252
person 0.88678,526,324,563,384
person 0.87130,405,308,435,347
person 0.60347,469,317,494,346
person 0.60301,408,302,431,326
person 0.55946,626,311,653,346
person 0.54842,531,331,560,364
person 0.50391,149,502,194,613
