object_probs,left,top,right,bottom
truck 0.91216,330,501,633,704
truck 0.69630,755,554,1053,719
truck 0.56419,648,352,815,502
motorbike 0.92444,803,402,848,455
motorbike 0.74065,918,433,1002,515
motorbike 0.63999,311,228,326,249
person 0.79853 motorbike 0.63308,361,269,382,306
motorbike 0.61935,391,422,463,487
motorbike 0.59009,151,538,197,623
motorbike 0.52009,399,248,420,279
car 0.98283,413,266,506,348
car 0.92547,284,423,442,605
car 0.84681,210,359,337,486
person 0.80143,309,214,324,244
person 0.75702,406,396,447,469
person 0.73999,594,565,645,635
person 0.72489,800,362,833,422
