object_probs,left,top,right,bottom
truck 0.51756,289,485,529,693
motorbike 0.96653,880,524,962,639
motorbike 0.94072,647,510,702,599
motorbike 0.93654,778,551,862,656
motorbike 0.60112,155,559,202,634
motorbike 0.58137,309,265,328,295
car 0.97380,250,275,316,340
car 0.83921,397,249,450,293
car 0.58449,288,199,314,220
person 0.90915,643,477,696,553
person 0.79746,788,512,847,601
person 0.78118,144,501,194,611
person 0.74311,291,250,307,280
person 0.70237,883,494,958,614
person 0.62452,308,253,328,286
