object_probs,left,top,right,bottom
truck 0.74784,349,203,442,289
motorbike 0.94949,887,420,960,478
motorbike 0.93121,598,328,639,367
motorbike 0.93023,527,287,560,324
motorbike 0.90725,476,268,500,303
motorbike 0.86431,403,440,452,502
person 0.60410 motorbike 0.63085,454,254,478,283
motorbike 0.56488,454,266,478,294
car 0.99147,448,340,586,443
person 0.88452,404,403,449,467
person 0.85750,598,304,637,363
person 0.71490,530,279,558,307
person 0.62870,474,256,497,281
person 0.62786,899,395,946,468
person 0.59993,603,302,624,328
person 0.58468,602,309,630,342
