object_probs,left,top,right,bottom
motorbike 0.93257,883,377,951,450
motorbike 0.84326,694,515,776,628
motorbike 0.79752,935,500,1010,577
motorbike 0.66230,601,604,684,717
car 0.99693,305,253,368,311
car 0.98449,266,343,361,433
car 0.97938,627,413,829,539
car 0.97281,437,304,539,390
car 0.97265,935,543,1078,719
car 0.97244,503,355,641,461
car 0.94870,270,518,453,718
car 0.94613,530,290,662,381
car 0.93190,692,345,878,466
person 0.86632,547,671,609,719
person 0.86183,693,503,773,614
person 0.59543,949,467,1012,530
person 0.56224,599,575,681,699
