object_probs,left,top,right,bottom
truck 0.81633,701,385,907,549
truck 0.57377,407,608,626,717
motorbike 0.90985,564,499,617,583
motorbike 0.77846,123,509,175,571
motorbike 0.75447,670,484,736,548
person 0.73617 motorbike 0.72340,296,251,311,281
motorbike 0.70381,429,381,488,433
car 0.99345,235,394,368,510
car 0.98056,299,297,387,376
car 0.88634,322,246,358,278
car 0.85350,220,354,297,420
car 0.77197,321,235,357,264
car 0.65641,288,201,313,219
person 0.88339,560,461,613,533
person 0.78246,442,348,484,402
person 0.72067,117,474,164,551
person 0.68594,566,269,592,311
person 0.66557,688,451,737,541
person 0.55762,670,437,714,512
person 0.52020,214,544,261,655
