object_probs,left,top,right,bottom
truck 0.80437,363,528,618,709
truck 0.54582,657,364,843,500
car 0.80186,645,358,836,510
bus 0.82918,856,431,1074,653
motorbike 0.87961,340,264,363,295
motorbike 0.79675,573,265,618,310
motorbike 0.79338,441,436,490,498
motorbike 0.67039,445,267,471,303
person 0.62072 motorbike 0.60157,312,239,330,262
person 0.58351,338,256,360,286
motorbike 0.54305,151,559,198,630
car 0.93363,281,425,450,600
car 0.73731,214,361,339,488
person 0.93389,293,645,363,717
person 0.83583,842,504,914,580
