object_probs,left,top,right,bottom
truck 0.82211,704,380,904,547
motorbike 0.93324,548,479,598,560
motorbike 0.84481,420,367,482,419
motorbike 0.77876,120,509,175,571
motorbike 0.72496,654,460,707,534
motorbike 0.66095,564,269,604,316
motorbike 0.63437,293,250,309,280
person 0.65499,569,271,600,313
car 0.98412,296,296,383,376
car 0.97764,234,395,365,508
car 0.89284,217,352,298,421
car 0.78671,317,234,354,264
car 0.72153,322,244,353,278
car 0.50983,400,595,623,719
car 0.50250,287,202,313,219
person 0.93194,546,447,593,506
person 0.84006,653,428,700,514
person 0.80581,194,530,270,643
person 0.78305,428,343,475,402
person 0.77884,117,472,165,554
