object_probs,left,top,right,bottom
motorbike 0.80222,936,504,1011,573
motorbike 0.78176,769,575,883,688
motorbike 0.76343,933,394,1001,464
motorbike 0.57020,603,602,684,718
car 0.99525,319,262,391,320
car 0.99434,568,303,692,401
car 0.99369,619,404,830,557
car 0.98758,270,348,387,459
car 0.97940,442,307,546,393
car 0.97661,936,545,1079,719
car 0.97529,499,352,641,461
car 0.93244,271,516,457,717
car 0.92967,759,361,957,498
person 0.95327,547,671,609,719
person 0.77498,783,539,860,611
person 0.76807,948,468,1012,528
person 0.50560,601,572,681,701
