object_probs,left,top,right,bottom
motorbike 0.95223,695,365,742,413
motorbike 0.91052,575,363,615,418
motorbike 0.83527,386,327,409,360
motorbike 0.79963,155,560,203,631
motorbike 0.64613,508,363,535,405
motorbike 0.60416,438,345,469,385
motorbike 0.58976,499,341,536,397
motorbike 0.50285,380,310,403,346
car 0.91718,302,222,348,255
car 0.78763,207,356,318,466
car 0.57370,287,207,317,235
person 0.85984,434,321,470,378
person 0.80386,704,337,728,369
person 0.74606,697,341,738,403
person 0.72382,385,312,410,350
person 0.72234,574,343,611,402
person 0.59431,502,343,539,401
person 0.56657,436,319,462,344
person 0.56200,380,299,400,324
person 0.53333,501,332,529,368
person 0.52615,576,343,602,370
