object_probs,left,top,right,bottom
motorbike 0.93585,910,621,1038,719
motorbike 0.91928,765,606,851,715
person 0.65883 motorbike 0.91035,383,248,402,278
motorbike 0.80046,1026,610,1079,710
motorbike 0.77690,308,286,333,321
person 0.66087 motorbike 0.66390,310,270,338,304
motorbike 0.55022,155,558,201,636
car 0.97788,428,267,496,315
car 0.87259,245,308,324,380
car 0.50889,290,199,313,217
person 0.88000,766,567,847,690
person 0.85259,937,578,1014,699
person 0.53752,1051,559,1079,638
person 0.52611,144,503,194,611
person 0.51461,775,560,830,645
person 0.51407,316,260,338,285
