object_probs,left,top,right,bottom
truck 0.62123,287,448,491,658
bus 0.95047,876,440,1079,654
motorbike 0.84253,338,288,373,322
motorbike 0.75561,388,325,413,364
motorbike 0.71698,751,582,867,687
motorbike 0.68930,386,311,412,347
motorbike 0.67773,474,346,502,385
motorbike 0.63619,572,263,616,310
person 0.55120 motorbike 0.61965,466,318,502,381
motorbike 0.53006,153,560,198,630
car 0.88331,208,359,338,482
car 0.81319,302,435,492,667
car 0.70684,672,363,872,514
person 0.80216,930,406,960,447
person 0.78323,343,273,370,306
person 0.67243,691,605,774,714
person 0.57882,463,315,496,349
