object_probs,left,top,right,bottom
truck 0.70326,649,359,859,517
car 0.63867 truck 0.51280,211,354,339,488
bus 0.98420,874,436,1078,652
motorbike 0.89194,413,306,438,340
motorbike 0.84848,346,271,368,306
motorbike 0.79310,315,252,342,283
motorbike 0.79218,571,264,617,311
motorbike 0.74016,631,327,670,386
person 0.71246 motorbike 0.51829,409,292,436,327
motorbike 0.51453,154,560,199,631
car 0.95658,292,424,461,615
car 0.60126,651,361,836,512
car 0.57673,953,642,1079,719
person 0.90148,502,593,558,683
person 0.60648,589,580,635,665
