object_probs,left,top,right,bottom
truck 0.76814,350,204,442,290
motorbike 0.95145,887,420,960,478
motorbike 0.92957,598,328,639,368
motorbike 0.92231,527,288,560,323
person 0.56880 motorbike 0.89005,476,268,500,303
motorbike 0.80604,403,442,452,503
person 0.62807 motorbike 0.59919,455,255,477,283
motorbike 0.57197,454,266,478,294
car 0.97959,448,340,586,447
person 0.85191,404,404,449,465
person 0.85058,599,304,637,363
person 0.74065,530,279,557,306
person 0.63893,475,257,497,281
person 0.61183,603,302,624,327
person 0.60139,899,395,946,467
person 0.58736,602,309,631,341
