object_probs,left,top,right,bottom
car 0.80482 truck 0.50055,609,487,869,704
motorbike 0.95916,757,390,812,435
motorbike 0.93608,625,419,674,475
motorbike 0.91381,406,309,432,349
motorbike 0.88813,461,401,510,468
motorbike 0.83927,457,300,530,354
person 0.54536 motorbike 0.79094,363,249,389,286
car 0.98621,374,563,602,718
car 0.98246,239,386,362,505
person 0.90460,624,380,667,441
person 0.86902,761,359,804,420
person 0.85254,461,382,504,440
person 0.70501,408,300,431,325
person 0.69127,768,357,797,390
person 0.52386,463,380,497,415
