object_probs,left,top,right,bottom
motorbike 0.95704,414,330,444,366
motorbike 0.91126,364,307,388,343
motorbike 0.84725,637,348,673,386
motorbike 0.81623,535,341,573,395
person 0.56605 motorbike 0.80551,473,331,501,372
motorbike 0.70752,155,558,203,632
person 0.64143 motorbike 0.51442,360,292,380,323
car 0.88064,300,221,335,253
car 0.52870,288,211,315,235
person 0.87214,410,309,438,344
person 0.79315,535,331,564,365
person 0.78716,472,318,496,344
person 0.78223,636,316,663,347
person 0.73673,633,320,672,381
person 0.61641,413,304,433,325
person 0.50643,365,297,388,327
