object_probs,left,top,right,bottom
truck 0.88568,340,508,625,710
person 0.59034 motorbike 0.96512,374,267,394,299
motorbike 0.90361,507,291,536,328
motorbike 0.88321,414,267,434,292
person 0.72339 motorbike 0.87484,306,250,323,283
person 0.75890 motorbike 0.69478,411,256,432,285
motorbike 0.60682,153,561,198,634
person 0.63466 motorbike 0.56493,343,232,358,259
car 0.97295,220,360,327,452
car 0.95152,288,421,441,599
person 0.80110,229,502,278,613
person 0.76624,373,257,393,286
person 0.69139,596,267,621,303
