object_probs,left,top,right,bottom
car 0.64857 truck 0.55592,679,375,885,528
bus 0.89319,942,473,1079,704
motorbike 0.92009,455,385,491,442
motorbike 0.90718,544,398,586,454
motorbike 0.79248,375,319,422,369
motorbike 0.77877,571,264,617,311
car 0.99170,283,281,345,347
car 0.93219,351,502,576,710
car 0.92418,210,363,352,489
car 0.89344,290,230,322,261
car 0.56310,284,209,317,237
person 0.85613,537,363,578,420
person 0.85041,378,306,420,364
person 0.68385,454,373,484,403
person 0.67309,389,311,417,344
person 0.57553,454,364,478,390
