object_probs,left,top,right,bottom
motorbike 0.96938,411,384,452,438
motorbike 0.91612,681,344,725,399
motorbike 0.90444,525,362,569,416
motorbike 0.88253,338,246,362,274
motorbike 0.87676,424,284,486,335
person 0.83574,337,233,362,266
motorbike 0.52607,363,288,388,324
car 0.98836,343,533,551,710
car 0.98755,215,362,341,472
car 0.88648,512,429,720,605
person 0.95973,221,616,300,719
person 0.88557,523,341,565,403
person 0.79125,408,357,441,390
person 0.63654,409,359,447,425
person 0.62202,688,332,714,368
