object_probs,left,top,right,bottom
truck 0.85078,340,514,627,708
car 0.85181 truck 0.50353,631,351,819,494
bus 0.63029,855,436,1074,662
motorbike 0.93982,673,473,728,551
person 0.61983 motorbike 0.89831,352,269,375,307
motorbike 0.88065,431,268,456,303
motorbike 0.78737,150,539,198,622
motorbike 0.63443,870,406,939,457
motorbike 0.54349,581,271,613,305
motorbike 0.53143,594,269,623,303
car 0.88283,213,359,339,484
car 0.87500,284,422,441,602
person 0.98226,468,479,519,523
person 0.95594,672,435,723,510
person 0.69296,556,508,622,570
person 0.68386,294,640,364,717
person 0.56058,208,603,274,678
