object_probs,left,top,right,bottom
truck 0.85023,343,496,605,710
bus 0.76582,816,432,1047,580
motorbike 0.73521,463,286,488,317
person 0.81063,462,272,486,309
motorbike 0.64388,152,542,199,621
motorbike 0.63135,414,254,435,285
motorbike 0.63079,581,264,630,309
motorbike 0.61059,776,380,836,435
motorbike 0.58469,439,333,469,369
motorbike 0.56012,632,318,670,375
car 0.94154,226,354,330,487
car 0.92921,286,423,438,597
car 0.91536,506,311,642,414
person 0.87657,331,358,367,417
person 0.72620,532,493,599,553
person 0.66393,439,317,463,340
person 0.51715,780,361,825,425
person 0.51375,789,378,837,437
