object_probs,left,top,right,bottom
truck 0.86464,399,256,521,360
motorbike 0.94080,770,406,844,462
motorbike 0.93289,578,309,606,343
motorbike 0.66912,934,501,1012,575
motorbike 0.59584,333,249,351,274
car 0.99759,581,386,770,533
car 0.99030,279,248,333,293
car 0.88015,935,542,1079,717
car 0.87670,259,226,294,254
car 0.84882,259,220,289,242
car 0.77428,363,234,410,275
car 0.61745,251,195,269,212
person 0.89211,573,282,606,340
person 0.87886,780,378,826,448
person 0.83707,548,669,609,719
person 0.54907,957,468,1012,557
