object_probs,left,top,right,bottom
motorbike 0.92701,563,288,589,327
motorbike 0.88761,513,439,597,514
motorbike 0.88218,757,674,843,719
motorbike 0.76209,893,608,986,706
motorbike 0.67680,312,610,421,708
motorbike 0.65750,144,544,191,607
motorbike 0.56965,341,272,360,307
person 0.53582,138,522,188,592
car 0.98501,245,427,405,549
car 0.95699,214,347,303,423
car 0.86862,332,323,438,419
car 0.70371,288,315,312,350
car 0.60946,347,251,383,282
car 0.59978,763,401,994,551
person 0.94972,762,619,838,705
person 0.85908,546,408,591,467
person 0.77042,129,484,174,546
person 0.73879,321,592,406,698
person 0.70809,885,536,970,654
