object_probs,left,top,right,bottom
truck 0.92868,333,503,614,707
truck 0.53716,849,429,1070,625
motorbike 0.95755,780,384,832,440
motorbike 0.91893,478,287,506,319
motorbike 0.86055,309,228,328,252
motorbike 0.71810,482,358,518,414
person 0.76674 motorbike 0.57349,478,273,505,307
motorbike 0.55168,206,481,256,552
car 0.98337,539,322,684,436
car 0.97565,215,363,338,486
car 0.97323,286,426,439,599
person 0.95630,367,383,408,440
person 0.81702,780,356,823,421
person 0.78522,483,340,517,407
person 0.66645,779,355,814,390
person 0.51410,484,339,506,368
person 0.51183,309,214,327,242
