object_probs,left,top,right,bottom
motorbike 0.93090,545,440,609,510
motorbike 0.80726,935,504,1011,575
motorbike 0.80251,817,362,881,422
motorbike 0.58989,602,598,684,718
car 0.99714,407,290,513,374
car 0.99209,623,417,830,557
car 0.99192,501,276,610,352
car 0.98384,494,344,644,446
car 0.97923,286,242,331,288
car 0.97599,628,326,778,421
car 0.96820,935,544,1079,719
car 0.94706,260,514,445,715
car 0.73513,240,317,316,383
person 0.91994,547,671,609,719
person 0.80489,549,415,601,492
person 0.80095,823,341,864,405
person 0.78715,949,467,1011,529
