object_probs,left,top,right,bottom
motorbike 0.91062,639,323,677,379
motorbike 0.88519,335,271,357,304
motorbike 0.83364,473,348,507,388
motorbike 0.79230,211,644,278,710
motorbike 0.75421,316,234,337,258
motorbike 0.72285,374,359,411,414
motorbike 0.54183,327,252,348,278
car 0.99677,315,502,508,677
car 0.99013,451,398,637,563
car 0.98844,214,356,328,457
car 0.91075,397,271,461,318
car 0.71825,995,487,1076,680
person 0.93989,199,580,276,697
person 0.81347,469,322,506,384
person 0.71602,644,315,669,347
