object_probs,left,top,right,bottom
truck 0.67032,400,540,649,717
truck 0.65097,656,363,844,503
truck 0.64168,792,582,1075,719
bus 0.94096,859,431,1074,642
motorbike 0.90159,357,270,379,304
motorbike 0.88418,322,250,338,276
motorbike 0.85565,474,459,527,523
motorbike 0.83162,481,284,511,320
motorbike 0.73573,575,271,612,306
person 0.62232 motorbike 0.65800,480,273,507,307
motorbike 0.63678,295,232,314,256
car 0.95335,286,425,447,600
car 0.83116,217,362,340,486
car 0.80187,647,357,837,512
person 0.82603,293,646,364,718
person 0.66670,918,532,966,592
person 0.51352,571,513,619,593
