object_probs,left,top,right,bottom
truck 0.74943,350,203,442,289
motorbike 0.94834,888,420,960,478
motorbike 0.93247,598,328,639,367
motorbike 0.93046,527,287,560,324
motorbike 0.90641,476,268,500,303
motorbike 0.86506,403,441,452,502
person 0.60657 motorbike 0.62636,454,254,478,283
motorbike 0.56393,454,266,478,294
car 0.99136,448,340,586,443
person 0.88494,404,403,449,467
person 0.85974,598,304,637,363
person 0.70692,530,279,558,307
person 0.63139,899,395,946,468
person 0.62795,474,256,497,281
person 0.59351,604,302,624,328
person 0.59052,602,309,630,342
