object_probs,left,top,right,bottom
truck 0.87635,340,504,621,711
person 0.73186 motorbike 0.92486,307,250,327,282
motorbike 0.89919,419,267,440,294
person 0.64827 motorbike 0.85454,519,288,550,328
motorbike 0.79679,382,269,403,300
motorbike 0.71697,521,305,550,336
motorbike 0.67144,347,236,369,262
motorbike 0.60259,154,563,199,633
motorbike 0.53274,239,556,282,647
car 0.97563,223,360,332,452
car 0.92352,290,419,441,597
person 0.86095,231,511,279,602
person 0.85573,420,255,439,286
person 0.67726,595,266,622,304
person 0.61914,143,511,193,607
person 0.53711,521,279,541,303
