object_probs,left,top,right,bottom
truck 0.78299,278,449,488,653
motorbike 0.98432,787,493,859,584
motorbike 0.98236,575,458,621,530
motorbike 0.93974,944,515,1038,638
person 0.56090 motorbike 0.89584,310,251,328,279
motorbike 0.85156,694,506,765,595
person 0.69287 motorbike 0.80785,340,231,353,255
car 0.94498,375,249,427,286
car 0.81951,314,491,491,665
car 0.78653,259,266,300,316
person 0.94995,573,424,616,489
person 0.86823,795,457,846,536
person 0.84342,695,467,749,558
person 0.55430,145,501,194,615
