object_probs,left,top,right,bottom
truck 0.85144,368,527,614,709
car 0.69813 truck 0.53298,214,360,338,488
truck 0.50797,657,364,843,499
bus 0.82924,850,430,1071,655
motorbike 0.83462,429,409,479,492
motorbike 0.82034,337,264,359,293
motorbike 0.80387,437,267,459,299
motorbike 0.77027,573,265,617,310
motorbike 0.60845,312,237,330,262
motorbike 0.56279,151,560,198,630
car 0.89389,282,426,448,597
car 0.80730,645,358,837,510
person 0.88292,293,645,363,716
person 0.87252,827,497,884,575
person 0.66760,430,395,473,479
