object_probs,left,top,right,bottom
truck 0.64437,739,383,950,561
car 0.61798,734,392,953,558
motorbike 0.90835,468,403,545,467
motorbike 0.90773,562,286,590,322
motorbike 0.89379,778,555,858,630
motorbike 0.87672,130,523,176,588
motorbike 0.72548,653,592,729,687
motorbike 0.60207,276,618,359,700
car 0.98647,240,402,380,528
car 0.94882,314,316,418,398
car 0.93078,211,337,301,418
car 0.92598,323,243,374,284
car 0.53542,292,202,313,218
person 0.97608,489,373,537,449
person 0.84303,775,498,848,606
person 0.83860,656,534,722,616
person 0.75186,565,273,588,310
person 0.72172,270,569,349,687
person 0.66968,126,500,175,575
