object_probs,left,top,right,bottom
truck 0.83349,398,260,521,359
motorbike 0.93935,780,402,855,468
motorbike 0.92900,578,307,607,344
motorbike 0.63426,934,500,1012,575
person 0.50814 motorbike 0.57118,334,247,351,274
car 0.99755,583,386,769,532
car 0.98858,281,248,334,295
car 0.91720,259,224,295,254
car 0.91372,369,237,442,278
car 0.88086,934,541,1079,717
car 0.66426,250,194,268,212
car 0.50211,293,202,313,219
person 0.87086,548,669,609,719
person 0.83057,573,282,608,340
person 0.82315,791,381,838,450
person 0.61034,944,472,1018,556
person 0.60874,333,236,349,265
