object_probs,left,top,right,bottom
truck 0.81933,327,493,641,704
truck 0.81456,748,561,1061,719
motorbike 0.89972,843,420,906,476
motorbike 0.87123,983,439,1072,557
motorbike 0.79511,317,229,335,251
motorbike 0.75266,428,439,472,509
motorbike 0.75231,372,287,394,315
motorbike 0.67929,151,537,197,624
motorbike 0.50602,581,270,614,307
car 0.95760,418,268,524,352
car 0.93188,285,423,436,603
car 0.88590,207,359,336,486
person 0.93929,368,269,393,305
person 0.69184,317,213,332,242
person 0.68463,594,566,645,634
person 0.65453,497,274,524,310
person 0.59262,428,412,470,497
