object_probs,left,top,right,bottom
truck 0.90069,337,493,631,706
motorbike 0.84518,539,333,573,370
motorbike 0.79953,152,561,197,632
motorbike 0.78353,395,255,417,283
motorbike 0.75574,513,308,536,336
motorbike 0.75235,649,337,696,387
person 0.84993 motorbike 0.72117,511,291,534,331
person 0.52578,650,323,694,379
motorbike 0.60170,344,271,365,311
car 0.96163,226,373,338,479
car 0.92391,286,424,439,603
person 0.91283,256,617,314,708
person 0.79081,541,314,566,344
person 0.77819,145,507,194,605
person 0.69330,656,318,684,345
