object_probs,left,top,right,bottom
motorbike 0.95276,784,588,900,696
motorbike 0.74677,935,502,1012,574
motorbike 0.64770,957,398,1006,468
motorbike 0.63560,603,602,685,718
car 0.99693,322,262,394,322
car 0.99253,616,404,831,557
car 0.99117,570,303,697,403
car 0.99076,278,348,395,466
car 0.98488,936,545,1079,719
car 0.97951,497,351,640,461
car 0.97728,442,307,547,393
car 0.95517,762,363,975,507
car 0.93148,260,538,464,704
person 0.94436,547,671,609,719
person 0.86850,801,536,883,660
person 0.50124,601,573,682,701
