object_probs,left,top,right,bottom
truck 0.89945,335,499,615,708
bus 0.53263 truck 0.52794,850,425,1066,637
motorbike 0.85588,516,290,543,329
motorbike 0.80423,152,561,198,630
motorbike 0.74177,506,376,543,434
motorbike 0.72497,322,230,336,254
motorbike 0.64606,275,230,291,258
motorbike 0.61394,388,423,434,483
car 0.96528,560,330,702,447
car 0.96321,213,364,340,485
car 0.95596,286,426,441,603
person 0.90446,387,399,430,464
person 0.87302,507,356,541,425
person 0.76782,876,383,922,441
person 0.75446,143,512,196,610
