object_probs,left,top,right,bottom
truck 0.90775,340,509,614,702
motorbike 0.86755,734,385,781,435
motorbike 0.80785,800,381,846,431
motorbike 0.77719,151,538,198,622
motorbike 0.64058,359,380,398,439
motorbike 0.58136,339,267,355,292
motorbike 0.53833,593,269,623,303
car 0.98784,374,258,453,324
car 0.86620,578,325,728,457
car 0.86307,282,426,441,602
car 0.78247,215,361,337,486
person 0.82179,339,255,356,283
person 0.72968,594,565,645,634
person 0.54217,802,351,827,389
person 0.53531,361,358,389,390
person 0.51950,664,320,688,347
person 0.50050,797,358,840,423
