object_probs,left,top,right,bottom
truck 0.66023,296,444,492,664
truck 0.57005,672,371,872,525
bus 0.95302,873,434,1073,663
motorbike 0.92064,342,289,374,324
motorbike 0.85519,391,329,418,366
motorbike 0.83073,476,345,506,388
motorbike 0.64703,572,263,616,310
motorbike 0.62947,153,560,198,630
motorbike 0.59304,760,585,885,696
motorbike 0.56345,695,646,778,719
person 0.60233,471,321,506,381
car 0.94414,207,357,339,482
car 0.72474,309,463,497,676
car 0.68640,673,362,873,515
person 0.80766,344,274,369,306
person 0.76858,469,319,499,346
person 0.75963,390,312,416,345
