object_probs,left,top,right,bottom
truck 0.93392,343,512,619,709
motorbike 0.97390,537,306,571,343
motorbike 0.87765,433,271,454,300
person 0.80332 motorbike 0.87759,311,254,331,283
motorbike 0.87301,243,578,286,665
motorbike 0.84165,154,563,199,634
motorbike 0.67889,354,248,374,270
person 0.76910 motorbike 0.67325,399,270,422,305
motorbike 0.63884,314,266,332,292
car 0.98505,220,363,333,456
car 0.93063,288,422,441,598
person 0.93266,234,525,286,629
person 0.75175,538,290,568,324
person 0.70429,594,265,621,304
person 0.66559,144,511,193,607
