object_probs,left,top,right,bottom
truck 0.90350,341,510,613,702
motorbike 0.93787,741,382,790,440
motorbike 0.86024,804,377,853,431
motorbike 0.76589,339,266,358,293
motorbike 0.72682,151,539,198,622
motorbike 0.67687,363,381,401,442
motorbike 0.51894,561,309,596,375
car 0.98678,379,258,459,329
car 0.90121,283,425,440,602
car 0.80237,215,358,338,486
car 0.71383,580,327,737,460
person 0.90779,339,255,359,283
person 0.72860,594,565,645,635
person 0.60448,365,360,392,391
person 0.56449,812,353,834,388
