object_probs,left,top,right,bottom
truck 0.93013,346,513,618,709
motorbike 0.88920,411,289,432,316
motorbike 0.83950,436,270,455,300
motorbike 0.83776,154,564,198,633
motorbike 0.79720,241,577,288,669
motorbike 0.72458,542,306,574,343
person 0.91195 motorbike 0.65731,312,255,332,284
motorbike 0.64612,316,266,334,292
motorbike 0.56834,357,236,375,264
car 0.98642,220,364,333,457
car 0.94081,291,422,440,597
person 0.91788,234,532,287,625
person 0.86358,409,270,432,306
person 0.66467,594,264,621,303
person 0.62924,143,511,193,605
