object_probs,left,top,right,bottom
motorbike 0.87843,387,364,426,421
motorbike 0.83913,652,340,695,391
motorbike 0.80037,494,355,526,392
motorbike 0.68798,211,656,280,718
motorbike 0.66563,330,247,353,273
motorbike 0.66522,346,273,366,305
person 0.68125 motorbike 0.65841,325,235,349,265
motorbike 0.58865,349,286,368,315
car 0.99527,475,409,661,574
car 0.99321,329,512,520,685
car 0.98470,211,361,330,461
car 0.71438,411,279,470,330
person 0.92871,207,587,281,707
person 0.79469,653,323,693,382
person 0.78829,491,331,519,369
person 0.76603,387,351,420,383
