object_probs,left,top,right,bottom
motorbike 0.96917,337,287,357,319
motorbike 0.96122,555,311,591,349
person 0.62231 motorbike 0.87017,430,311,457,348
motorbike 0.77731,154,557,202,634
motorbike 0.77458,486,330,514,369
person 0.72924 motorbike 0.72143,376,289,405,326
motorbike 0.65818,434,325,456,357
motorbike 0.57634,382,306,403,337
car 0.94157,287,213,320,242
person 0.85784,559,295,584,324
person 0.82521,336,274,355,305
person 0.74489,430,300,454,325
person 0.65793,148,502,193,613
person 0.56433,481,309,508,347
