object_probs,left,top,right,bottom
truck 0.93922,333,505,621,707
bus 0.75609,854,435,1071,645
motorbike 0.96973,308,248,326,277
motorbike 0.95405,568,419,614,480
motorbike 0.89583,351,249,375,274
motorbike 0.83835,152,561,197,630
motorbike 0.69763,776,385,838,440
car 0.95190,284,424,439,597
car 0.92489,206,357,337,485
car 0.79751,587,339,763,476
car 0.64623,387,425,479,515
person 0.86145,569,383,608,446
person 0.76413,784,366,828,426
person 0.70561,239,536,284,619
person 0.61716,143,515,195,605
