object_probs,left,top,right,bottom
truck 0.74726,350,203,442,289
motorbike 0.94825,888,420,960,478
motorbike 0.93235,598,328,639,367
motorbike 0.93083,527,287,560,324
motorbike 0.90603,476,268,500,303
motorbike 0.86543,403,441,452,502
person 0.60415 motorbike 0.62657,454,254,478,283
motorbike 0.56443,454,266,478,294
car 0.99135,448,340,586,443
person 0.88523,404,403,449,467
person 0.85694,598,304,637,363
person 0.70653,530,279,558,307
person 0.62981,899,395,946,468
person 0.62814,474,256,497,281
person 0.59626,603,302,624,328
person 0.59198,602,309,630,342
