object_probs,left,top,right,bottom
truck 0.74950,338,499,611,706
bus 0.68773,809,417,1028,581
motorbike 0.80403,435,327,459,366
motorbike 0.77052,727,366,792,417
motorbike 0.72823,152,537,198,622
motorbike 0.71542,592,306,634,360
motorbike 0.65229,401,252,420,282
car 0.96673,217,359,338,486
car 0.95756,500,304,624,408
car 0.89330,285,421,437,599
person 0.90443,528,485,581,555
person 0.85254,442,270,465,306
person 0.63989,432,312,457,344
person 0.58849,594,565,645,635
person 0.57830,585,261,626,311
person 0.57679,736,360,784,417
