object_probs,left,top,right,bottom
truck 0.63909,649,362,853,513
bus 0.96233,866,433,1079,632
motorbike 0.94297,310,249,338,278
motorbike 0.93013,392,290,421,325
motorbike 0.89921,579,304,618,363
motorbike 0.89293,340,267,362,299
motorbike 0.58408,544,473,593,558
car 0.95387,289,425,447,603
car 0.84616,651,361,838,513
car 0.77614,227,356,330,490
person 0.89093,496,564,549,633
person 0.84022,543,450,594,542
person 0.73397,572,264,615,312
person 0.72520,390,279,414,304
person 0.50512,315,673,380,719
