object_probs,left,top,right,bottom
truck 0.55638,295,487,514,686
motorbike 0.93456,625,487,673,577
motorbike 0.92576,844,523,931,621
motorbike 0.91838,753,532,829,634
motorbike 0.66071,154,559,201,635
motorbike 0.57475,1029,566,1076,671
person 0.71045 motorbike 0.51739,308,252,328,285
motorbike 0.50160,348,232,368,261
car 0.95445,259,272,311,334
car 0.93293,383,247,442,294
car 0.70435,288,198,315,219
person 0.85360,619,459,662,532
person 0.82748,756,496,812,579
person 0.75194,862,483,908,548
person 0.69278,144,502,194,611
person 0.63529,286,247,302,279
