object_probs,left,top,right,bottom
truck 0.91247,334,498,623,705
truck 0.63481,217,362,335,484
car 0.68262,226,359,325,486
bus 0.95017,774,406,992,578
motorbike 0.90795,417,309,444,350
motorbike 0.74513,667,345,714,392
motorbike 0.70199,152,538,198,622
motorbike 0.57689,583,262,629,308
car 0.95145,476,299,597,395
car 0.88707,285,422,438,595
person 0.86453,508,471,550,530
person 0.72885,594,565,646,636
person 0.61517,675,320,704,352
person 0.56584,418,297,439,327
person 0.52373,407,253,427,286
person 0.50053,669,321,711,378
