object_probs,left,top,right,bottom
truck 0.91249,329,482,634,705
motorbike 0.94306,376,250,395,277
motorbike 0.93960,332,253,351,277
motorbike 0.89914,292,249,307,273
person 0.67182 motorbike 0.87365,457,273,480,308
motorbike 0.63796,948,572,1061,676
motorbike 0.55341,228,472,273,592
car 0.98441,217,350,298,437
car 0.78645,290,412,436,624
car 0.54079,291,198,312,216
person 0.94012,966,525,1054,661
person 0.84886,224,474,271,592
person 0.62286,597,267,622,303
person 0.61876,327,233,347,257
person 0.59663,316,216,328,237
person 0.56173,291,239,306,263
person 0.53203,145,503,194,612
