object_probs,left,top,right,bottom
truck 0.88457,346,521,626,707
car 0.53875 truck 0.74645,627,353,818,495
bus 0.68649,851,442,1078,655
motorbike 0.94284,419,268,444,299
person 0.55638 motorbike 0.89330,349,268,371,304
motorbike 0.87119,656,464,720,532
motorbike 0.75578,154,560,199,629
motorbike 0.75547,842,403,906,455
motorbike 0.51231,581,271,614,306
car 0.95066,286,423,441,594
car 0.83038,219,361,340,483
person 0.97909,467,475,518,521
person 0.89369,660,426,705,487
person 0.73024,303,644,368,716
person 0.61343,214,597,267,674
person 0.57916,555,507,622,569
person 0.51617,868,393,895,429
