object_probs,left,top,right,bottom
motorbike 0.85926,946,404,1016,468
motorbike 0.80790,802,349,837,382
motorbike 0.79479,539,309,570,338
motorbike 0.74313,518,291,545,317
motorbike 0.69529,600,294,631,317
motorbike 0.64926,473,276,496,301
motorbike 0.61411,752,344,795,402
motorbike 0.56249,535,292,565,323
car 0.96424,641,349,787,442
car 0.93589,387,271,451,318
car 0.87656,342,259,391,299
car 0.65495,320,249,355,276
person 0.79619,798,325,839,380
person 0.63568,755,341,775,368
person 0.52561,971,388,996,427
person 0.50958,962,395,1009,464
