object_probs,left,top,right,bottom
truck 0.94050,651,419,857,577
truck 0.53755,235,251,307,324
motorbike 0.93671,977,440,1026,507
motorbike 0.91968,396,272,419,300
motorbike 0.76370,528,647,612,719
motorbike 0.60110,445,619,527,704
motorbike 0.52289,1031,394,1059,424
motorbike 0.50428,351,673,446,719
car 0.98244,78,490,340,663
car 0.84720,314,247,375,291
person 0.94148,981,416,1025,491
person 0.85900,1027,360,1061,421
person 0.78048,348,662,426,718
person 0.70694,785,388,827,438
person 0.60499,444,521,490,591
