object_probs,left,top,right,bottom
motorbike 0.96930,680,502,740,574
motorbike 0.93667,839,484,889,541
motorbike 0.89658,551,478,623,556
motorbike 0.88601,398,271,421,300
motorbike 0.83659,907,519,973,596
motorbike 0.80626,779,463,828,516
motorbike 0.68251,1016,351,1039,378
motorbike 0.65278,834,461,900,528
car 0.99662,318,395,442,501
car 0.96184,881,359,1002,455
car 0.95555,331,251,381,296
car 0.95213,2,599,134,718
car 0.85688,215,239,269,297
car 0.80604,266,227,294,258
person 0.98830,689,462,742,535
person 0.96972,840,440,891,514
person 0.96014,914,485,968,587
person 0.89629,1014,326,1039,370
person 0.82718,778,440,829,508
person 0.79905,758,392,803,444
