object_probs,left,top,right,bottom
motorbike 0.77246,616,445,675,499
motorbike 0.76296,973,352,1002,391
person 0.50942 motorbike 0.73960,1007,305,1033,341
motorbike 0.63174,1061,309,1077,347
motorbike 0.61810,399,271,421,300
motorbike 0.60521,974,369,1000,398
motorbike 0.57148,1062,328,1078,356
car 0.99883,812,405,981,505
car 0.98558,371,363,456,445
car 0.93933,333,253,384,297
car 0.86987,277,294,349,352
person 0.77841,616,418,662,488
person 0.62808,971,338,1005,397
person 0.58792,975,336,998,368
