object_probs,left,top,right,bottom
motorbike 0.84191,350,426,392,476
motorbike 0.76580,49,620,181,710
motorbike 0.73783,233,464,275,525
person 0.82496 motorbike 0.66421,946,329,977,371
car 0.99601,447,495,707,668
car 0.99278,302,302,383,358
car 0.97464,230,260,279,308
car 0.92760,335,253,384,296
car 0.77617,1052,334,1079,396
car 0.52830,323,234,359,257
person 0.93989,888,403,930,471
person 0.78343,348,402,389,461
person 0.74845,224,438,266,506
person 0.73746,345,397,379,430
person 0.51480,56,615,134,703
