object_probs,left,top,right,bottom
motorbike 0.89802,743,533,827,658
motorbike 0.85055,800,420,846,475
motorbike 0.84430,952,358,993,409
motorbike 0.78318,996,397,1043,457
person 0.73492 motorbike 0.75664,245,347,271,391
motorbike 0.69685,658,289,692,321
motorbike 0.62589,442,267,460,294
car 0.96047,2,614,290,716
person 0.80374,1002,379,1045,451
person 0.75844,757,488,806,552
person 0.75513,1034,330,1064,370
person 0.72048,1006,359,1049,417
person 0.67274,952,348,992,404
person 0.64104,1011,356,1046,391
