object_probs,left,top,right,bottom
motorbike 0.96475,579,311,605,341
motorbike 0.93856,5,574,98,663
motorbike 0.93834,521,309,547,336
motorbike 0.90309,670,364,719,419
motorbike 0.85273,470,290,492,318
motorbike 0.77570,175,549,226,601
motorbike 0.63868,300,330,325,372
person 0.86523 motorbike 0.56564,519,296,544,324
car 0.98709,655,281,786,337
car 0.94138,335,252,397,297
car 0.68119,205,271,246,288
person 0.91706,577,297,601,324
person 0.87004,168,499,219,572
person 0.67657,471,278,491,306
person 0.66027,654,313,687,353
person 0.58943,668,335,716,409
