object_probs,left,top,right,bottom
motorbike 0.90788,948,327,976,366
motorbike 0.81656,467,478,543,549
motorbike 0.80490,896,379,936,434
motorbike 0.74629,464,509,527,558
motorbike 0.74510,1008,347,1039,378
motorbike 0.66986,1008,328,1038,369
car 0.99879,717,437,909,552
car 0.99172,352,375,465,476
car 0.93076,332,252,384,297
car 0.88959,293,305,366,365
car 0.71541,188,218,239,265
person 0.93079,897,361,936,429
person 0.85478,946,313,976,355
person 0.82620,469,461,543,539
person 0.61548,1012,317,1040,349
person 0.57892,1006,320,1042,373
